t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
4,0,3.26485277559515e-15,0,0,0,3.88672949475615e-16,0,0,31.8825,31.8825,0,3.88677807887481e-15,0,0,0,1.94336474737806e-15,0,0,31.8825,31.8825,0,3.88677807887481e-15,0,0,0,1.94336474737806e-15,0,0,31.8825,31.8825
4.1,0,3.29643245274004e-15,0,0,0,2.42920593422261e-16,0,0,31.8825,31.8825,0,4.08354375954684e-15,0,0,0,1.9919488660625e-15,0,0,31.8825,31.8825,0,4.08354375954684e-15,0,0,0,1.9919488660625e-15,0,0,31.8825,31.8825
4.2,0,3.3134368942796e-15,0,0,0,9.71682373689077e-17,0,0,31.8825,31.8825,0,4.28511926796863e-15,0,0,0,2.04053298474695e-15,0,0,31.8825,31.8825,0,4.28511926796863e-15,0,0,0,2.04053298474695e-15,0,0,31.8825,31.8825
4.3,0,3.31586610021382e-15,0,0,0,-4.85841186844462e-17,0,0,31.8825,31.8825,0,4.49165035649623e-15,0,0,0,2.0891171034314e-15,0,0,31.8825,31.8825,0,4.49165035649623e-15,0,0,0,2.0891171034314e-15,0,0,31.8825,31.8825
4.4,0,3.30372007054271e-15,0,0,0,-1.943364747378e-16,0,0,31.8825,31.8825,0,4.70299127277359e-15,0,0,0,2.13770122211585e-15,0,0,31.8825,31.8825,0,4.70299127277359e-15,0,0,0,2.13770122211585e-15,0,0,31.8825,31.8825
4.5,0,3.27699880526626e-15,0,0,0,-3.40088830791154e-16,0,0,31.8825,31.8825,0,4.91914201680071e-15,0,0,0,2.1862853408003e-15,0,0,31.8825,31.8825,0,4.91914201680071e-15,0,0,0,2.1862853408003e-15,0,0,31.8825,31.8825
4.6,0,3.23570230438448e-15,0,0,0,-4.85841186844507e-16,0,0,31.8825,31.8825,0,5.14024834093365e-15,0,0,0,2.23486945948474e-15,0,0,31.8825,31.8825,0,5.14024834093365e-15,0,0,0,2.23486945948474e-15,0,0,31.8825,31.8825
4.7,0,3.17983056789736e-15,0,0,0,-6.31593542897861e-16,0,0,31.8825,31.8825,0,5.36616449281635e-15,0,0,0,2.28345357816919e-15,0,0,31.8825,31.8825,0,5.36616449281635e-15,0,0,0,2.28345357816919e-15,0,0,31.8825,31.8825
4.8,0,3.10938359580491e-15,0,0,0,-7.77345898951215e-16,0,0,31.8825,31.8825,0,5.59689047244881e-15,0,0,0,2.33203769685364e-15,0,0,31.8825,31.8825,0,5.59689047244881e-15,0,0,0,2.33203769685364e-15,0,0,31.8825,31.8825
4.9,0,3.02436138810712e-15,0,0,0,-9.23098255004569e-16,0,0,31.8825,31.8825,0,5.83257203218708e-15,0,0,0,2.38062181553809e-15,0,0,31.8825,31.8825,0,5.83257203218708e-15,0,0,0,2.38062181553809e-15,0,0,31.8825,31.8825
