t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
26.3,0.986662665919269,9.27451542843182e-07,-0.000158329535529106,0.00356422524610401,0.00630821691068727,-1.20294476637701e-05,0.00181390633281798,-0.00919684132031656,31.8812945709211,31.8836190796153,0.999108622877877,-0.00347478282621141,2.38664276192757e-05,0.000125688116837418,0.000648471407676394,0.00018416177364997,1.9218705607011e-05,-0.000154623666618506,31.8827054036657,31.8826827539938,1.00662576443976,0.0186335746229594,2.38234114110136e-05,8.94916854718305e-05,0.000628806218828432,0.00043681727203229,1.47806549820213e-05,-0.000207144901957244,31.8831122230619,31.8830833801196
26.4,0.987369775024908,-2.43372136862319e-07,3.50552120718691e-05,0.00241182034124094,0.00770337869064747,-1.02089648135787e-05,0.00200126154594225,-0.0135299040998569,31.8823380337425,31.8825306309537,0.999174318208678,-0.00345665887452491,2.55947693527876e-05,0.000103648634628219,0.000663716021439792,0.000178204854908796,1.49593785804293e-05,-0.000283076559695878,31.8827102771127,31.8826754964444,1.0066887038057,0.0186763593403464,2.50745121748494e-05,6.47956070598494e-05,0.000627863733292134,0.000418557217614993,9.97343640859508e-06,-0.000282122531526534,31.8831068461748,31.8830711891392
26.5,0.988174337665014,-9.24099566846231e-07,0.00023130923676438,0.000931406370094002,0.00823312977192634,-2.79421714342581e-06,0.00187188199836137,-0.0156800272066162,31.8834089505732,31.8814934168508,0.99924085407622,-0.00343914021651153,2.68032567844123e-05,7.05689979209182e-05,0.000664281226894079,0.000172295047005785,9.12339776703225e-06,-0.000368639506618569,31.8827128293934,31.8826698705988,1.00675085345188,0.0187172960736298,2.57915806481583e-05,3.4527241678607e-05,0.000613050605204916,0.000400585351180869,4.40743499786484e-06,-0.00031524137508967,31.883098862925,31.8830603408017
26.6,0.988984985200092,-7.67720759252484e-07,0.000399751432768125,-0.000641823610906403,0.00782537565689495,5.64376441034801e-06,0.00145358226217732,-0.0153723604406471,31.8843339265299,31.8806574351828,0.999306606774707,-0.0034222039533444,2.73849064747307e-05,3.15874945664111e-05,0.00064776546766896,0.000166440171885588,2.42807030407143e-06,-0.00040152887298304,31.8827125589061,31.8826664298116,1.00681083066368,0.0187564682623557,2.59463188533933e-05,3.19109495014065e-06,0.000584158010319722,0.000382909990193904,-1.2793045108175e-06,-0.000303973437424939,31.8830881890959,31.8830510653242
26.7,0.989710487024354,7.19997152113834e-08,0.000514743110676502,-0.00206438686249556,0.0065543052296574,1.01934775304549e-05,0.000817880400998661,-0.0127164847823641,31.8849549785173,31.8801265988215,0.999369859309456,-0.00340584433521311,2.72927654968797e-05,-7.89473027312139e-06,0.000613760082870675,0.000160647259953207,-4.35342860674783e-06,-0.000378360473091388,31.8827092667496,31.8826654074413,1.00686730150023,0.0187939057422301,2.55574782502362e-05,-2.4925916967388e-05,0.000542479414716448,0.000365545674425659,-6.46750727539022e-06,-0.000250775260431956,31.8830749599486,31.8830433248786
26.8,0.990273805141083,1.05739617688522e-06,0.000559501328126842,-0.00312211338952625,0.00462527529466781,8.47167137019894e-06,6.79031845833647e-05,-0.00817980853294277,31.885165367344,31.8799558237757,0.999428803112179,-0.00339007205265687,2.65399419437428e-05,-4.2229970448482e-05,0.000563820394155621,0.000154924909670275,-1.03955304306569e-05,-0.000302011298462468,31.8827030530421,31.882666726615,1.00691897748171,0.0188295890204605,2.46910465134904e-05,-4.57571923192639e-05,0.000490789776301702,0.000348516178188926,-1.05581367000811e-05,-0.000162969993325348,31.8830595454945,31.8830368368588
26.9,0.990623610786513,1.60047766328866e-06,0.000528454650778065,-0.0036622906156666,0.00233992477950303,1.8731270412617e-06,-0.000678265776124273,-0.00250669096981353,31.8849357246832,31.8801548371054,0.999482197148748,-0.00337486257442205,2.52547139778001e-05,-6.6889269242702e-05,0.000502578470996863,0.000149278111273764,-1.50192989974908e-05,-0.000185668528781863,31.8826945511861,31.8826698162623,1.00696522968977,0.0188636031524783,2.34910860775022e-05,-5.6743451480857e-05,0.00043375466783125,0.000331824891126848,-1.31645059198376e-05,-5.44867782220213e-05,31.8830426744082,31.8830310162173
27,0.990741559292726,1.40786966289536e-06,0.000427816055519179,-0.00361555412962561,4.74091002210441e-05,-5.44364444490723e-06,-0.00130611143356635,0.00340287367484456,31.8843203131255,31.8806915942761,0.999529194593637,-0.00336020810151343,2.3602223868338e-05,-7.8726167510364e-05,0.000435575622742799,0.000143714800164004,-1.77362470281962e-05,-4.59205173031076e-05,31.8826845672545,31.8826739184237,1.00700577204112,0.0188959819473535,2.21154012847347e-05,-5.65868923292117e-05,0.000376291727517546,0.000315483932148742,-1.40768249039554e-05,5.94945908051178e-05,31.8830251294259,31.8830251898974
27.1,0.990644317392902,6.35663352316746e-07,0.000274330975912968,-0.00300442980370339,-0.00191038051940842,-9.12820536923911e-06,-0.0017221811083504,0.00863532441478176,31.8834411595801,31.8814929657448,0.999569335708035,-0.00334611631310496,2.17844305400485e-05,-7.59507610178229e-05,0.000369241843348221,0.000138246573459911,-1.82455293295354e-05,9.73559524220167e-05,31.8826740769854,31.8826780968424,1.00704065336855,0.0189267128673851,2.07360423187119e-05,-4.52240883840199e-05,0.000323567118954178,0.000299515344691705,-1.32590534479288e-05,0.000162603343386737,31.8830077504621,31.8830186060148
27.2,0.990380166164404,-2.26249860779112e-07,9.24405391257353e-05,-0.0019375514564359,-0.00325112375989343,-7.18949274397783e-06,-0.00186788825182013,0.0124042113080504,31.8824567233388,31.8824461416789,0.999603205392118,-0.00333256092195999,2.0021926021494e-05,-5.96655020331606e-05,0.000309792176267243,0.000132878913615306,-1.66715154766312e-05,0.000223964050893921,31.8826641107072,31.8826813867171,1.00707072907029,0.018955881319244,1.95122998284128e-05,-2.478839627434e-05,0.000279754289045853,0.000283917121681763,-1.10023832357804e-05,0.000240893215676542,31.8829912933098,31.883010634858
